sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
HG02014	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-55.1021	12.5330	2.6768	-2.5043	4.5323
NA19703	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-53.6303	12.8750	1.2635	-1.9875	-0.0310
HG01512	EUR	EUR	0.0000	0.0000	0.0056	0.0000	0.9944	-0.7858	-15.3210	-3.5893	-8.3460	4.0374
NA11840	EUR	EUR	0.0000	0.0000	0.0002	0.0000	0.9998	0.4845	-12.2523	-1.6860	-7.5484	-2.8726
HG02731	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.0371	5.0568	17.3868	3.1005	5.3616
HG01988	AMR	AFR	0.0000	0.4730	0.5270	0.0000	0.0000	-33.9683	1.5982	-1.6586	-3.0065	4.1955
HG03945	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.2845	7.5560	22.2482	5.8194	0.0574
HG03796	SAS	SAS	0.0020	0.0000	0.0000	0.9980	0.0000	0.2905	15.1324	17.0011	3.2739	-0.9347
HG01923	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	6.6578	22.2749	-21.9293	36.6932	2.8552
HG01066	AMR	AMR	0.0000	0.0004	0.9996	0.0000	0.0000	-3.5305	-6.4565	-6.8147	0.1834	5.1488
HG00384	EUR	EUR	0.0000	0.0000	0.0004	0.0000	0.9996	1.7358	-10.1700	-2.1454	-7.0028	-5.0279
HG02511	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-59.0642	15.3621	1.8192	-1.0001	1.8151
HG00177	EUR	EUR	0.0000	0.0000	0.0010	0.0000	0.9990	2.4457	-7.5520	-5.3203	-6.8034	-6.3064
HG02292	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	8.6116	19.6187	-20.7370	35.5241	4.0843
HG02546	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-58.6239	15.8048	1.7725	-0.3457	2.9330
HG02690	SAS	SAS	0.0000	0.0010	0.0000	0.9990	0.0000	-0.6605	-0.7231	15.6843	2.5853	3.5416
